Delivery Date;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
28.09.2019;34.70;31.07;31.00;30.10;31.02;33.00;32.00;34.58;35.16;35.00;35.15;35.95;36.20;36.30;35.50;34.99;31.61;34.23;35.52;37.98;37.00;32.57;34.38;31.01
27.09.2019;31.37;31.20;30.66;30.78;31.59;33.38;43.74;48.65;52.11;49.68;48.91;49.40;46.80;46.70;45.10;45.10;45.52;46.40;47.30;48.60;44.61;41.35;38.55;33.90
26.09.2019;35.50;35.02;33.19;33.61;33.70;36.83;49.80;53.54;56.96;51.93;51.64;52.30;49.50;49.90;47.65;47.74;47.50;47.99;47.90;49.00;45.50;41.38;36.22;33.77
25.09.2019;34.91;34.06;34.04;34.03;35.05;37.00;51.07;57.07;59.10;55.00;54.60;52.92;50.57;50.11;49.11;49.71;51.05;54.97;59.27;61.89;55.00;49.70;42.60;38.73
24.09.2019;37.19;35.53;34.87;35.00;35.49;38.82;51.11;58.63;61.21;53.53;51.68;50.75;48.90;48.27;47.69;49.80;51.74;52.56;53.53;57.05;51.51;46.16;41.10;35.51
23.09.2019;34.20;34.01;33.03;33.04;34.00;34.44;47.40;50.40;55.93;53.10;53.00;51.95;50.93;50.98;50.70;49.95;49.48;52.96;57.85;60.95;56.90;50.94;48.00;43.50
22.09.2019;28.50;27.50;28.20;28.00;27.36;27.99;30.01;32.40;33.00;33.02;32.00;32.70;30.40;29.10;28.30;28.80;29.77;36.00;39.41;45.78;46.70;40.40;38.32;35.00
21.09.2019;36.11;33.06;32.57;31.99;31.60;32.74;34.88;36.76;38.79;37.00;36.09;34.70;33.33;31.60;32.00;31.05;31.80;36.08;43.20;46.38;42.80;37.80;36.12;32.30
20.09.2019;37.68;36.12;35.90;35.83;36.36;39.05;52.80;55.95;58.00;53.25;50.52;46.00;44.16;42.24;42.63;41.98;44.00;49.48;51.06;55.96;53.97;48.82;45.52;39.57
19.09.2019;34.49;32.89;32.73;32.50;32.51;35.10;49.56;54.45;53.52;50.38;46.35;45.32;43.97;43.50;41.87;42.34;42.53;48.50;53.91;58.90;58.07;50.60;49.22;42.50
